
Questions,Replies,Timelog
1,,
Timestamp: 2022-6-14 13:24:31,,
"Hello John, Good morning.",,
I am calling from Dell Technologies. Is it good moment to talk?,you can contact at the end of this month,0:00:00.389097
At what time you will be available for discussion?,Day After tomorrow,0:00:00.360767
Thank you for your time and consideration; our Human Resources staff will contact you to schedule a follow-up interview.,,
,,
Questions,Replies,Timelog
2,,
Timestamp: 2022-6-14 13:24:49,,
"Hello John, Good morning.",,
I am calling from Dell Technologies. Is it good moment to talk?,anytime after this week,0:00:00.610597
When can we call you again?,I will let you know,0:00:00.653463
Thank you for your time and consideration; our Human Resources staff will contact you to schedule a follow-up interview.,,
,,
Questions,Replies,Timelog
1,,
Timestamp: 2022-6-14 13:26:16,,
"Hello John, Very Good morning.",,
I am calling from Dell Technologies. Is it good moment to talk?,you can contact at the end of this month,0:00:00.394745
At what time you will be available for discussion?,Day After tomorrow,0:00:00.645412
Thank you for your time and consideration; our Human Resources staff will contact you to schedule a follow-up interview.,,
,,
Questions,Replies,Timelog
2,,
Timestamp: 2022-6-14 13:26:33,,
"Hello John, Very Good morning.",,
I am phoning from Dell Technologies. Is it right time to talk?.,anytime after this week,0:00:00.434537
When can we call you again?,I will let you know,0:00:00.643993
Thank you for your time and consideration; our Human Resources staff will contact you for a follow-up interview.,,
,,
Questions,Replies,Timelog
3,,
Timestamp: 2022-6-14 13:26:38,,
"Hello John, Very Good morning.",,
I am calling from Dell Technologies. Is it good moment to talk?,yeah tell,0:00:01.695311
"Our HR team will get back to you on this later, I am phoning from Dell Technologies. Is it right time to talk?.",,
,,
Questions,Replies,Timelog
4,,
Timestamp: 2022-6-14 13:26:58,,
"Hello John, Good morning.",,
I am calling from Dell Technologies. Is it good moment to talk?,ok bye,0:00:00.674111
Principal Software Engineer-IT is a position that we are looking to fill for Hyderabad location. Are you interested?,I would be available,0:00:01.681580
How many years of python experience do you have?,I have one eighty days of experience in python,0:00:00.611661
How much you are making in current job?,I have a yearly salary of 15 lakh INR,0:00:00.690099
What are your salary goals?,2.5 M INR,0:00:00.349363
When will the next round of interviews be convenient for you?,You can fix my meeting on friday,0:00:00.016401
Thank you for your time and consideration; our Human Resources staff will contact you for a follow-up interview.,,
,,
